time,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop
1789951808.0,47.619968333333325,-122.33894833333333,70.7,549672.4456138297,5274274.363359533,10,T,0.99
1789951809.0,47.61993833333333,-122.33890833333335,71.7,549675.4796824179,5274271.054843984,10,T,0.99
1789951810.0,47.619930000000004,-122.33890666666666,72.1,549675.6128119975,5274270.129763219,10,T,0.99
1789951811.0,47.61992,-122.33890500000001,72.5,549675.747520432,5274269.019452814,10,T,0.99
1789951812.0,47.61990833333333,-122.33889333333333,73.1,549676.6352210835,5274267.730317573,10,T,0.99
1789951813.0,47.61990000000001,-122.33888833333334,73.6,549677.0188220579,5274266.8073718,10,T,0.99
1789951814.0,47.619891666666675,-122.33888333333334,74.0,549677.4024231543,5274265.884426051,10,T,0.99
1789951815.0,47.619875,-122.33887333333332,74.6,549678.1696257003,5274264.038534629,10,T,0.99
1789951816.0,47.61986166666667,-122.33886833333332,74.7,549678.557963874,5274262.559900034,10,T,0.99
1789951817.0,47.61983,-122.33885666666666,74.9,549679.4646133247,5274259.048009537,10,T,0.99
1789951818.0,47.61977,-122.33870166666665,76.0,549691.1683924347,5274252.479034929,10,T,0.99
1789951819.0,47.619735000000006,-122.338645,76.6,549695.4595807883,5274248.625518813,10,T,0.99
1789951820.0,47.61968166666667,-122.33860666666666,77.4,549698.3905530312,5274242.7227323605,10,T,0.99
1789951821.0,47.61963666666667,-122.33859,77.8,549699.6855623306,5274237.732211773,10,T,0.99
1789951822.0,47.619608333333325,-122.33857833333334,77.8,549700.5890688703,5274234.590783846,10,T,0.99
1789951823.0,47.61959166666667,-122.33857833333334,77.8,549700.60486481,5274232.738487528,10,T,0.99
1789951824.0,47.61957333333333,-122.33857000000002,77.8,549701.2484221192,5274230.706301543,10,T,0.99
1789951825.0,47.61955833333333,-122.33855999999999,77.4,549702.0140569906,5274229.045642907,10,T,1.1
1789951826.0,47.61954833333333,-122.33854333333332,76.2,549703.2758989672,5274227.944945408,10,T,0.96
1789951827.0,47.619545,-122.33852833333334,73.9,549704.4061861293,5274227.584098635,10,T,1.1
1789951828.0,47.619535,-122.33851000000001,72.0,549705.7932653241,5274226.484469746,10,T,1.1
1789951829.0,47.619535,-122.33849833333333,69.4,549706.6699204567,5274226.491946482,10,T,0.96
1789951830.0,47.61952333333333,-122.33848833333334,68.3,549707.4323977904,5274225.201747812,10,T,0.96
1789951831.0,47.619510000000005,-122.33847666666666,67.0,549708.321691797,5274223.727387763,10,T,0.96
1789951832.0,47.619515,-122.33846333333334,64.1,549709.318844254,5274224.291621931,10,T,0.96
1789951833.0,47.619508333333336,-122.33846166666666,63.2,549709.4504002299,5274223.551771589,10,T,0.96
1789951834.0,47.619505,-122.33846666666668,61.9,549709.0778504137,5274223.178107822,10,T,0.96
1789951835.0,47.61950166666667,-122.33846999999999,61.0,549708.8305370777,5274222.805512241,10,T,0.96
1789951836.0,47.61949,-122.33846666666668,60.5,549709.0920691364,5274221.511041169,10,T,0.96
1789951837.0,47.61949,-122.33846999999999,59.7,549708.8415960282,5274221.508904843,10,T,1.15
1789951838.0,47.61948,-122.33846166666666,59.4,549709.4772580187,5274220.402867911,10,T,0.96
1789951839.0,47.61946666666666,-122.33845333333332,59.0,549710.1160800286,5274218.926371794,10,T,0.96
1789951840.0,47.61945333333333,-122.33845000000001,58.6,549710.3791924235,5274217.446671159,10,T,0.96
1789951841.0,47.61943666666666,-122.33845000000001,58.2,549710.394991389,5274215.594374893,10,T,0.96
1789951842.0,47.61942333333333,-122.33845666666666,57.8,549709.9066837033,5274214.108265135,10,T,1.15
1789951843.0,47.619415,-122.338465,57.7,549709.2883994314,5274213.176776129,10,T,0.96
1789951844.0,47.61941166666667,-122.33846833333334,57.6,549709.041085667,5274212.804180547,10,T,0.96
1789951845.0,47.61940833333333,-122.33847833333333,57.5,549708.292824872,5274212.427312364,10,T,0.96
1789951846.0,47.61941166666667,-122.33849000000001,57.2,549707.4130080219,5274212.79029465,10,T,0.96
1789951847.0,47.61940833333333,-122.33850333333334,56.3,549706.4142736227,5274212.4112904575,10,T,1.15
1789951848.0,47.61940333333334,-122.33852666666668,55.5,549704.6656982593,5274211.840648349,10,T,1.15
1789951849.0,47.619396666666674,-122.33854500000001,55.0,549703.2944125502,5274211.08798125,10,T,0.96
1789951850.0,47.61938833333333,-122.33855833333334,54.4,549702.3004165093,5274210.153288892,10,T,0.96
1789951851.0,47.61938,-122.33856666666667,54.1,549701.6821306016,5274209.22180071,10,T,0.96
1789951852.0,47.619373333333336,-122.33858166666666,53.8,549700.5613175639,5274208.471270277,10,T,0.96
1789951853.0,47.61936333333333,-122.33859166666667,53.6,549699.8193738976,5274207.353484695,10,T,0.96
1789951854.0,47.61935333333333,-122.338605,53.2,549698.8269561816,5274206.233563321,10,T,0.96
1789951855.0,47.619341666666664,-122.33861999999999,53.1,549697.7108806646,5274204.9273445755,10,T,0.96
1789951856.0,47.61933333333333,-122.33863666666666,52.8,549696.4664088098,5274203.990517405,10,T,1.15
1789951857.0,47.619328333333335,-122.33864999999999,52.7,549695.4692516227,5274203.426285486,10,T,0.96
1789951858.0,47.61932166666667,-122.33865499999999,52.5,549695.0998584125,5274202.682163394,10,T,0.96
