time,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop
1790031986.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031987.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031988.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031989.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031990.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031991.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031992.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031993.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031994.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031995.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031996.0,47.61941166666667,-122.33804,96.0,549741.2269282241,5274213.07878742,10,T,1.33
1790031997.0,47.61941166666667,-122.33804166666665,96.0,549741.1016914839,5274213.077718566,10,T,1.33
1790031998.0,47.61941166666667,-122.33804166666665,96.0,549741.1016914839,5274213.077718566,10,T,1.33
1790031999.0,47.61941166666667,-122.33804166666665,96.0,549741.1016914839,5274213.077718566,10,T,1.33
1790032000.0,47.61941166666667,-122.33804166666665,96.0,549741.1016914839,5274213.077718566,10,T,1.33
1790032001.0,47.61941166666667,-122.33804333333335,96.0,549740.9764547418,5274213.076649715,10,T,1.33
1790032002.0,47.61941166666667,-122.33804333333335,96.0,549740.9764547418,5274213.076649715,10,T,1.33
1790032003.0,47.61941166666667,-122.33804333333335,96.0,549740.9764547418,5274213.076649715,10,T,1.33
1790032004.0,47.61941,-122.33804333333335,95.9,549740.9780356088,5274212.8914200915,10,T,1.33
1790032005.0,47.61941,-122.33804333333335,95.9,549740.9780356088,5274212.8914200915,10,T,1.33
1790032006.0,47.61941,-122.33804333333335,95.9,549740.9780356088,5274212.8914200915,10,T,1.33
1790032007.0,47.61941,-122.33804333333335,95.9,549740.9780356088,5274212.8914200915,10,T,1.33
1790032008.0,47.61941166666667,-122.33804333333335,95.9,549740.9764547418,5274213.076649715,10,T,1.33
1790032009.0,47.61941166666667,-122.33804333333335,95.9,549740.9764547418,5274213.076649715,10,T,1.33
1790032010.0,47.61941166666667,-122.33804333333335,95.9,549740.9764547418,5274213.076649715,10,T,1.33
1790032011.0,47.61941166666667,-122.33804333333335,95.9,549740.9764547418,5274213.076649715,10,T,1.33
1790032012.0,47.61941166666667,-122.33804333333335,95.9,549740.9764547418,5274213.076649715,10,T,1.33
