time,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop
1790033066.0,47.619791666666664,-122.33947000000002,13.1,549633.414141188,5274254.395057169,10,T,3.83
1790033067.0,47.619793333333334,-122.33946499999999,13.1,549633.7882712182,5274254.583486456,10,T,3.83
1790033068.0,47.61979833333333,-122.33946666666667,13.1,549633.6583029525,5274255.138108828,10,T,3.82
1790033069.0,47.61980666666667,-122.33945666666665,13.1,549634.4018303711,5274256.070656384,10,T,3.82
1790033070.0,47.61981000000001,-122.33945,13.0,549634.8996185382,5274256.445381953,10,T,3.82
1790033071.0,47.61982,-122.33944500000001,13.0,549635.2658607392,5274257.559959545,10,T,3.82
1790033099.0,47.61989666666667,-122.33945999999999,12.5,549634.0661740593,5274266.070923975,10,T,1.25
1790033100.0,47.61986333333333,-122.33948333333335,12.5,549632.3444246489,5274262.351399514,10,T,1.25
1790033101.0,47.619815,-122.33952,12.5,549629.6349831879,5274256.956277024,10,T,1.25
1790033102.0,47.61978166666666,-122.339545,12.4,549627.7879922756,5274253.235687539,10,T,1.25
1790033103.0,47.619756666666675,-122.33956166666667,12.4,549626.5592924142,5274250.44657883,10,T,1.25
1790033104.0,47.61972666666667,-122.33958333333334,12.4,549624.9596149995,5274247.098582383,10,T,1.25
1790033105.0,47.61972666666667,-122.33958333333334,12.4,549624.9596149995,5274247.098582383,10,T,1.25
1790033106.0,47.61972666666667,-122.33958333333334,12.4,549624.9596149995,5274247.098582383,10,T,1.25
1790033107.0,47.61972666666667,-122.33958333333334,12.4,549624.9596149995,5274247.098582383,10,T,1.25
1790033108.0,47.61972666666667,-122.33958333333334,12.4,549624.9596149995,5274247.098582383,10,T,1.25
1790033109.0,47.619685,-122.33961666666667,12.3,549622.4943230728,5274242.446514716,10,T,1.25
1790033110.0,47.61968166666667,-122.33961833333333,12.2,549622.3722412062,5274242.0749891335,10,T,1.25
1790033111.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033112.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,3.63
1790033113.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033114.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033115.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033116.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,3.63
1790033117.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,3.63
1790033118.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033119.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033120.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033121.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033122.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033123.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033124.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033125.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033126.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033127.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033128.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033129.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033130.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033131.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033132.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033133.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033134.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033135.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033136.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,3.63
1790033137.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,3.63
1790033138.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033139.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,3.63
1790033140.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033141.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033142.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033143.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033144.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033145.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033146.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033147.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
1790033148.0,47.61968333333333,-122.33961833333333,12.1,549622.3706640941,5274242.260218771,10,T,1.25
